Ambrose Walk,Kirkby,r,53.497,-2.8767
Ambrose Street,York,r,53.9465,-1.0761
Ambrose Street,Rochdale,r,53.6069,-2.1593
Ambrose Street,Manchester,r,53.4709,-2.1916
Ambrose Street,Leyland,r,53.6983,-2.6846
Ambrose Street,Hyde,r,53.4366,-2.0747
Ambrose Road,Sunderland,r,54.8764,-1.4300
Ambrose Road,Ripon,r,54.1299,-1.5228
Ambrose Road,Eston,r,54.5554,-1.1495
Ambrose Place,Stoke-on-Trent,r,53.0762,-2.2018
Ambrose Place,Newcastle upon Tyne,r,54.9779,-1.5374
Ambrose Hall Lane,Woodplumpton,r,53.8104,-2.7594
Ambrose Drive,Manchester,r,53.4225,-2.2570
Ambrose Crescent,Diggle,r,53.5629,-2.0024
Ambrose Court,Blaydon,r,54.9539,-1.7272
Ambrose Court,Annfield Plain,r,54.8574,-1.7486
Ambrose Avenue,Worden,r,53.681,-2.6651
Ambrose Avenue,Leigh,r,53.5164,-2.5259
Ambrose Avenue,Hatfield,r,53.5809,-1.0035
Ambridge Way,Northumberland,r,55.0784,-1.5381
Ambridge Way,Newcastle upon Tyne,r,55.0101,-1.6482
Ambrey Close,Hunmanby,r,54.1793,-0.3171
